Mth	Year	Gaps	Good	Minimum	Maximum	Mean	St Devn
1	1957	744	0				
2	1957	672	0				
3	1957	744	0				
4	1957	720	0				
5	1957	744	0				
6	1957	720	0				
7	1957	744	0				
8	1957	744	0				
9	1957	720	0				
10	1957	744	0				
11	1957	335	385	0.21	1.95	1.06	0.42
12	1957	0	744	0.15	1.98	1.008	0.409
1	1958	25	719	0	1.86	0.956	0.416
2	1958	647	25	0.79	1.77	1.209	0.298
3	1958	370	374	0.3	2.1	1.188	0.451
4	1958	720	0				
5	1958	744	0				
6	1958	720	0				
7	1958	744	0				
8	1958	744	0				
9	1958	720	0				
10	1958	744	0				
11	1958	720	0				
12	1958	744	0				
1	1959	744	0				
2	1959	672	0				
3	1959	744	0				
4	1959	720	0				
5	1959	744	0				
6	1959	720	0				
7	1959	744	0				
8	1959	744	0				
9	1959	720	0				
10	1959	744	0				
11	1959	720	0				
12	1959	744	0				
1	1960	744	0				
2	1960	696	0				
3	1960	744	0				
4	1960	720	0				
5	1960	744	0				
6	1960	720	0				
7	1960	744	0				
8	1960	744	0				
9	1960	720	0				
10	1960	744	0				
11	1960	720	0				
12	1960	744	0				
1	1961	744	0				
2	1961	672	0				
3	1961	744	0				
4	1961	720	0				
5	1961	744	0				
6	1961	720	0				
7	1961	744	0				
8	1961	744	0				
9	1961	720	0				
10	1961	744	0				
11	1961	720	0				
12	1961	744	0				
1	1962	744	0				
2	1962	672	0				
3	1962	744	0				
4	1962	720	0				
5	1962	744	0				
6	1962	720	0				
7	1962	744	0				
8	1962	744	0				
9	1962	720	0				
10	1962	744	0				
11	1962	720	0				
12	1962	744	0				
1	1963	744	0				
2	1963	672	0				
3	1963	744	0				
4	1963	720	0				
5	1963	744	0				
6	1963	720	0				
7	1963	744	0				
8	1963	744	0				
9	1963	720	0				
10	1963	744	0				
11	1963	720	0				
12	1963	744	0				
1	1964	744	0				
2	1964	696	0				
3	1964	744	0				
4	1964	720	0				
5	1964	744	0				
6	1964	720	0				
7	1964	744	0				
8	1964	744	0				
9	1964	720	0				
10	1964	744	0				
11	1964	720	0				
12	1964	744	0				
1	1965	744	0				
2	1965	672	0				
3	1965	744	0				
4	1965	720	0				
5	1965	744	0				
6	1965	720	0				
7	1965	744	0				
8	1965	744	0				
9	1965	720	0				
10	1965	744	0				
11	1965	720	0				
12	1965	744	0				
1	1966	0	744	-0.06	1.89	0.91	0.397
2	1966	0	672	0.03	2.04	1.055	0.414
3	1966	0	744	0.03	1.92	1.038	0.394
4	1966	0	720	0.21	1.95	1.077	0.397
5	1966	0	744	0.24	2.07	1.041	0.39
6	1966	0	720	0.18	1.89	0.986	0.403
7	1966	0	744	0.06	2.07	0.965	0.402
8	1966	0	744	-0.03	1.89	0.883	0.398
9	1966	0	720	-0.06	1.89	0.925	0.397
10	1966	0	744	-0.03	1.68	0.888	0.394
11	1966	0	720	0.15	1.86	0.917	0.392
12	1966	0	744	0	1.83	0.891	0.404
1	1967	696	48	0.24	1.8	1.075	0.456
2	1967	0	672	-0.09	1.95	0.883	0.409
3	1967	0	744	0.12	1.92	0.943	0.391
4	1967	0	720	0.15	2.01	0.97	0.391
5	1967	0	744	0.24	2.07	0.976	0.381
6	1967	0	720	0.18	1.98	1	0.385
7	1967	0	744	0.21	1.83	0.984	0.386
8	1967	0	744	0.21	1.89	1.003	0.374
9	1967	0	720	0.12	1.92	0.984	0.386
10	1967	0	744	0.09	1.8	0.926	0.401
11	1967	0	720	0.12	2.01	0.991	0.404
12	1967	0	744	0.09	2.01	0.962	0.407
1	1968	0	744	0.24	2.01	1.027	0.379
2	1968	0	696	0.03	2.07	0.976	0.396
3	1968	0	744	0.21	1.8	1.013	0.367
4	1968	0	720	0.27	1.95	1.082	0.364
5	1968	0	744	0.24	2.19	1.146	0.373
6	1968	0	720	0.15	1.95	1.049	0.38
7	1968	0	744	0.06	1.89	0.957	0.388
8	1968	0	744	0.24	2.01	1.027	0.376
9	1968	0	720	0.12	1.83	0.941	0.386
10	1968	0	744	0.12	1.92	0.955	0.384
11	1968	0	720	0.09	2.1	0.98	0.389
12	1968	0	744	0	1.92	0.956	0.386
1	1969	0	744	0.12	2.04	0.984	0.387
2	1969	0	672	-0.03	1.74	0.84	0.391
3	1969	0	744	0.03	1.89	0.896	0.381
4	1969	0	720	0.27	1.83	1.029	0.371
5	1969	0	744	0.18	2.07	0.987	0.388
6	1969	0	720	0.24	2.13	1.089	0.389
7	1969	0	744	0.06	2.04	0.947	0.404
8	1969	0	744	-0.06	1.8	0.911	0.384
9	1969	0	720	0.18	1.77	0.961	0.378
10	1969	0	744	0.21	1.68	0.88	0.368
11	1969	0	720	0.15	1.8	0.922	0.372
12	1969	0	744	0.15	2.01	1.019	0.375
1	1970	0	744	-0.03	1.92	0.988	0.38
2	1970	0	672	-0.12	1.86	0.891	0.39
3	1970	0	744	0.21	1.95	0.987	0.371
4	1970	62	658	0.21	1.83	0.995	0.38
5	1970	0	744	0.27	2.13	1.011	0.392
